Category,Content
poem,"Gargalhadas satânicas a exalar..
Não culpo a mim mesmo, pois eu que mereça."
poem,Mas tão bom é meu peito para mutilar?.
poem,Atordoa-me até as últimas instâncias;.
poem,"Alicates e unhas a se encontrar..
Minha mente delira a mil distâncias."
poem,O que quer a morte me mostrar?.
poem,Às vezes penso que nada espera.
poem,O desarmado caminhante para sempre a caminhar.
poem,"Puro tronco e cabeça, vara e esfera."
poem,Miserável e sedento não pode descansar.
poem,"E quando pôde, num dia distante,."
poem,O desgraçado caminhante se libertar.
poem,Tomou-lhe a cabeça o demônio falante.
poem,“Felicidade?
poem,Alegria?
poem,Vamos apartar”.
poem,No negro se foi o mais puro semblante.
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Atordoa-me até as últimas instâncias;."
poem,"Alicates e unhas a se encontrar..
Minha mente delira a mil distâncias."
poem,O que quer a morte me mostrar?.
poem,Às vezes penso que nada espera.
poem,O desarmado caminhante para sempre a caminhar.
poem,"Puro tronco e cabeça, vara e esfera."
poem,Miserável e sedento não pode descansar.
poem,"E quando pôde, num dia distante,."
poem,O desgraçado caminhante se libertar.
poem,Tomou-lhe a cabeça o demônio falante.
poem,“Felicidade?
poem,Alegria?
poem,Vamos apartar”.
poem,No negro se foi o mais puro semblante.
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Às vezes penso que nada espera."
poem,O desarmado caminhante para sempre a caminhar.
poem,"Puro tronco e cabeça, vara e esfera."
poem,Miserável e sedento não pode descansar.
poem,"E quando pôde, num dia distante,."
poem,O desgraçado caminhante se libertar.
poem,Tomou-lhe a cabeça o demônio falante.
poem,“Felicidade?
poem,Alegria?
poem,Vamos apartar”.
poem,No negro se foi o mais puro semblante.
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 E quando pôde, num dia distante,."
poem,O desgraçado caminhante se libertar.
poem,Tomou-lhe a cabeça o demônio falante.
poem,“Felicidade?
poem,Alegria?
poem,Vamos apartar”.
poem,No negro se foi o mais puro semblante.
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 No negro se foi o mais puro semblante."
poem,"Em águas turvas e densas não parou de cair..
Manchado e rasgado, irreconhecível caminhante;."
poem,"Não souberam que era ele quando voltou a emergir..

Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Ao escuro voltou, solitário viajante."
poem,"Sem risos, abraços, amores a ter."
poem,"Incompreensível estado, culpa andante e errante."
poem,"A própria cabeça voltou a bater..

Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Arremessava-se vivo em espinhos e lanças."
poem,"Todas elas a carne a lhe perfurar..
Si próprio olhava, buscando a lembrança."
poem,"Como pôde, tudo aquilo, simplesmente estragar?."
poem,"Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Maldisse os corvos, o demônio e a morte."
poem,A ira sentia em sua pele queimar.
poem,Que lhe há de ter feito para roubarem-lhe a sorte?.
poem,"Queria o homem a si mesmo apagar..

Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Sumir deste mundo, sem deixar rastro;."
poem,"Toda a dor que causou a evaporar..
“Idiota, burro louco, está preso ao mastro!”."
poem,"Seu destino é eterno; eternamente a navegar..

Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema

 Que fez o coitado, mero simples sonhador?."
poem,"Aos demônios sentados àquela ocasião..
Riram-lhe à face, causaram-lhe dor..
Fora feito, por azar, da desgraça a diversão..

                
                
                
                
                
                
                                
 July 21st, 2016 10:38pm 
textos
poema"
tale,"Diante de vagos olhos desatentos, aquele tímido ser provavelmente passaria despercebido, camuflando-se em meio aos infinitos detalhes esculpidos nas majestosas colunas da catedral."
tale,"Para mim, no entanto, que por acaso o vi entrar por uma das capelas laterais, não poderia haver maior solidão."
tale,"Enquanto concentrava-se em caminhar, sua musculatura, proeminente e natural, marcavam presença sob o tecido justo do delicado vestido."
tale,"O curto rabo de cavalo que dava ordem a seus cabelos cambaleava desolado pelos corredores, buscando no mundo o perdão que necessitava encontrar em si."
tale,"Às pinturas dos santos, rogava tímidos pedidos de ajuda, rezando por um sinal ou um olhar de compaixão."
tale,"Elas, porém, não se moviam."
tale,Sua barba por fazer sussurrava às esculturas o medo que sentia… e não respondiam.
tale,"Mas em algum lugar, entre aquelas frias pilastras de mármore que iam do teto ao chão, tal ser sabia que se escondia o suave e aconchegante abraço da redenção."
tale,"Tanto é que, a uma escultura determinada, lançou preces particulares por entre os lábios cobertos de batom."
tale,Que acharia Deus de tudo aquilo?
tale,Passara os últimos anos mendigando a resposta ao silêncio.
tale,Seria ele um anjo?
tale,Uma besta?
tale,Uma curva errada no curso da evolução?
tale,Era comumente chamado de “coisa” por não encaixar-se em lugar nenhum.
tale,"Aos homens, parecia uma aberração enfeitada; às mulheres, uma tentativa inútil de negar sua realidade."
tale,"Mas não era monstro, tampouco iludido."
tale,Aquele ser apenas era.
tale,"Com suas pernas cabeludas e cabelo até as pernas, simplesmente era."
tale,"Era a Terra, o infinito, o universo; como poucos autêntico, magnífico inverso."
tale,"Desafiava as leis dos homens, dos Átilas e Romeus."
tale,Mas será que ainda estava dentro das leis de Deus?
tale,"Todos os padres diziam que não, mas a lógica (e o Papa) apoiavam sua decisão."
tale,"As escrituras sagradas condenavam sua forma de ser, mas não fora ele forjado pelo Sagrado ver?"
tale,"Nunca quis contrariar o desejo do Pai, ou mesmo desafiar a ordem dos céus."
tale,"Mas se Deus lhe fez, no mundo lhe pôs e ainda o deixava… Por que nos versículos não se encontrava?"
tale,"Seria aquele um jogo sádico, triste e cruel, em que o ponto final é a condenação por um crime que não cometeu?"
tale,"Pois bem lembrava que nada tinha feito, se não seguir sua natureza."
tale,"Duvidava que fosse esse o caso, tamanha era sua crença na bondade do Senhor."
tale,"Mas o que seria, então?"
tale,"Havia anos que se perguntava, e na catedral agora sentava-se ao meu lado em busca de solução."
tale,"Terminei minha prece, abri os olhos, senti suas lágrimas respingando no chão."
tale,"Sofria sozinho, gritando calado por uma luz no meio da escuridão."
tale,Pouco depois nos separamos e seguimos assim os nossos próprios cursos.
tale,Será que Deus o perdoaria antes de mutilar os pulsos?
tale,"- Santiago, Jan/19."
opinion,"Deito-me, e escuto o barulho da chuva vindo da janela."
opinion,O silêncio da noite reserva à alma um momento para pensar.
opinion,"Na escuridão, não existe começo, nem fim."
opinion,A ausência de vozes comprova a imensidão do pensamento.
opinion,"Pesadelos, sonhos, devaneios, pecados…Tudo se mistura numa espécie de linguagem que só nós mesmos entendemos (ao mesmo tempo que nem nós mesmos conseguimos entender)."
opinion,"Assim como a fria e obscura chuva, as profundezas da alma nos aguardam encharcados."
opinion,"Resta-nos, agora, a fria morte interior e o renascer no outro dia."
opinion,"Assim como o momento de entendimento e abstenção, a chuva não mais voltará."
opinion,"F. Bandeira
Dez/2014"
tale,Seus olhos navegavam leves pelo espaço enquanto a ponta da caneta fazia parar o tempo.
tale,"Teria passado ali dias, horas ou minutos?"
tale,Não sabia.
tale,"Mas naqueles traços, o ínfimo e a eternidade se transformavam em um só elemento."
tale,"A brisa, que fluía calma pela janela, fazia a ponta de seus longos cabelos escuros bailar."
tale,"Entre um contorno do desenho e outro, o canto da boca ensaiava um sorriso – talvez o mais belo que aquele pedaço de papel jamais tivera o prazer de admirar."
tale,Onde estavam?
tale,Difícil dizer.
tale,"A mente vagava a mil, dando voltas no infinito e retornando a lugar nenhum."
tale,"Quando um detalhe não lhe vinha nítido à memória, trocava uma olhadela com a fotografia original e já tinha outra vez toda a obra na imaginação."
tale,"Em breve tingiria a ponta dos dedos com carvão, gravando as sombras com a clareza que só o castanho de seu olhar conseguia carregar."
tale,Era a dona do impossível; seus rabiscos estáticos dançavam graciosos por entre as folhas do caderno.
tale,"E a menina ao piano se tornara sua mais nova companhia: uma noite e três águas de coco depois, ela, o desenho e sua tela já pareciam conhecer-se de vidas passadas."
tale,Simples e bela.
tale,Assim era ela.
tale,Afastou o rosto do papel e contemplou o conjunto.
tale,"Suas costas, aproveitando a volta ao mundo real, enfáticas reclamaram da posição."
tale,"Arqueou a coluna, inspirou profundamente, afastou todo o peso do cotidiano com o ar de seus pulmões."
tale,"Ali, o mundo eram os dois: só ela e seu desenho."
tale,"Não havia régua, caneta ou papel."
tale,"Tampouco cadeira, fotografia ou carvão."
tale,"Eram apenas, juntos e a sós, águas correntes de um mesmo rio, em profunda sintonia e singular conexão."
tale,Saía daqueles contornos um dó?
tale,Tinha mais cara de fá.
tale,"Fazendo descobertas em um piano de parede, uma garotinha desbravava a ponta mais aguda do teclado com seu leve vestido de algodão."
tale,Sorria a cada nota que ouvia.
tale,Dançava a melodia de seu próprio tom.
tale,"E serelepe segredava, com bochechas risonhas e cabelos ralinhos, a canção que compunha à caneta que lhe criava."
tale,"Debruçada sobre o papel, ela ouvia, atenta."
tale,"Contornando-o com leveza angelical, conversava com sua obra e vivia momentos que ninguém deste mundo jamais iria saber."
tale,Mas aquele era seu segredo.
tale,E sua boca guardava um sorriso ao vasto universo que cada novo traço vinha trazer.
tale,Simples e bela.
tale,Assim era ela.
tale,"- F. Bandeira, 12 dez 2018."
tale,Seus olhos navegavam leves pelo espaço enquanto a ponta da caneta fazia parar o tempo.
tale,"Teria passado ali dias, horas ou minutos?"
tale,Não sabia.
tale,"Mas naqueles traços, o ínfimo e a eternidade se transformavam em um só elemento."
tale,"A brisa, que fluía calma pela janela, fazia a ponta de seus longos cabelos bailar."
tale,"Entre um contorno do desenho e outro, o canto da boca ensaiava um sorriso — talvez o mais belo que aquele pedaço de papel jamais tivera o prazer de admirar."
tale,Onde estavam?
tale,Difícil dizer.
tale,"A mente vagava a mil, dando voltas no infinito e retornando a lugar nenhum."
tale,"Quando um detalhe não lhe vinha nítido à memória, trocava uma olhadela com a fotografia original e já tinha outra vez toda a obra na imaginação."
tale,"Em breve tingiria a ponta dos dedos com carvão, gravando as sombras com uma clareza que só o castanho de seu olhar conseguia carregar."
tale,"Era ela a dona do impossível, com seus rabiscos estáticos dançando graciosos por entre as folhas do caderno."
tale,"E a menina de carbono e celulose ao piano se tornara sua mais nova companhia: uma noite e três águas de coco depois, ela, o desenho e sua tela já pareciam conhecer-se de vidas passadas."
tale,Simples e bela.
tale,Assim era ela.
tale,Distanciou o rosto do papel e contemplou o conjunto.
tale,"Suas costas, aproveitando a volta ao mundo real, enfáticas reclamaram da posição."
tale,"Arqueou a coluna, inspirou profundamente: afastou todo o peso do cotidiano com o ar de seus pulmões."
tale,"Ali, o mundo eram as duas: só ela e seu desenho."
tale,"Não havia régua, caneta ou papel."
tale,"Tampouco cadeira, fotografia ou carvão."
tale,"Eram apenas, juntas e a sós, águas correntes de um mesmo rio, em profunda sintonia e singular conexão."
tale,Saía daqueles contornos um dó?
tale,Talvez tivesse mais cara de fá.
tale,"Fazendo descobertas em um piano de parede, uma garotinha desbravava a ponta mais aguda do teclado com seu leve vestido de algodão."
tale,Sorria a cada nota que ouvia.
tale,Dançava a melodia de seu próprio tom.
tale,"E serelepe segredava, com bochechas risonhas e cabelos ralinhos, a canção que compunha à caneta que lhe criara."
tale,"A autora, debruçada sobre o papel, ouvia tudo atenta."
tale,"Contornando-a com leveza angelical, conversava com sua obra e vivia momentos que ninguém deste mundo jamais iria saber."
tale,Mas aquele era seu segredo.
tale,E sua boca guardava um sorriso ao vasto universo que cada novo traço vinha trazer.
tale,Simples e bela.
tale,Assim era ela.
tale,"By Felipe Bandeira on October 26, 2020."
tale,"Canonical link Exported from Medium on October 4, 2023."
poem,"“E quando se trata de alegri Sou, por completo, a mais pura poesia”"
tale,Em sintonia.
tale,Era assim que ficava toda vez que tinha encontro marcado com o mar.
tale,Deixava que as águas abraçassem seu corpo e não mantinha na superfície mais que o necessário para pensar.
tale,"Longe, as ondas quebravam na areia de sua consciência, que caminhava com a leveza pura do oceano, indo e vindo, indo e vindo, indo… Imersa em pensamentos, ela fazia o mundo ganhar uma nova dimensão."
tale,"A dança das águas compassava sua alma e cadenciava sua mente, redimindo pecados, refletindo conceitos e revelando ideias nunca antes sonhadas."
tale,"O mar era sua zona de meditação, e ao mesmo tempo o epicentro de seu furacão."
tale,"E os peixes, nadando desavisados na imensidão azul, mudavam de curso quando sentiam a intensidade de sua presença; sabiam por instinto que a titã dos oceanos estava a se concentrar."
tale,Às vezes levantava e se cobria com o vento.
tale,"Saindo da água, marcava seu caminho pela areia, permitindo que o mar lhe procurasse caso um infortúnio a impedisse de voltar."
tale,"Com as duas mãos e um pouco de força, levava um grande coco verde à face e refrescava-se usando um canudo de bambu; não ousaria jamais poluir com plástico aquele ambiente que lhe era tão íntimo quanto seus próprios segredos."
tale,"Atrás dos óculos escuros, ela contemplava o mar, e ele contemplava-a de volta, aguardando ansioso o próximo momento em que viveriam mais uma vez aquela antiga paixão."
tale,"E não demorava, bem dizer, mais que alguns instantes fora da água para a saudade ser maior que os dois e voltar a firmar sua conexão."
tale,"Era assim que vivia, dia após dia, o maior de seus amores."
tale,O coração partia-se quando o sol se escondia e ela se despedia com a roupa a pingar.
tale,"Mas o sol sempre voltava a nascer, e novamente ela entrava em sintonia: era assim que ficava toda vez que tinha encontro marcado com o mar."
tale,Coisa mais comum era Carmelo raiar quando o sol ainda tava no braços de Morfeu.
tale,"Sentava na cama, esticava a coluna e cumpria o ritual com o suspiro de sempre."
tale,De madrugada ele não usava lampião.
tale,De jeito algum.
tale,Carmelo conhecia cada poeira da casa com a palma da mão.
tale,Às vezes ia na calçada olhar a rua e respirar o vento frio.
tale,"Só Deus sabe o que ele via dentro da escuridão, mas que via alguma coisa eu tenho certeza que ele via."
tale,"Era homem esperto, com um olho na sabedoria e outro no Cão."
tale,"Pouco depois já tava com a peixeira no braço e a rede nas costas, caminhando inté o areal pra botar a jangada no mar."
tale,"Parece que teve um compadre, um dia, só que tentaram lhe passar a perna e ele preferiu trabalhar só."
tale,"Eu confesso que  naquela época ficava com medo até de pensar, mas Carmelo era homem que navegava pelo som."
tale,"Conversava com as ondas, sentia o gosto de tempestade que tava por vir, vez por outra fumava um cachimbo marrom."
tale,"Um homem disse uma vez que ele fazia pacto com o Diabo pra pegar os peixes bons, mas nisso eu nunca acreditei."
tale,"Não era lá chegado ao povo, mas dava pra ver que ele era um homem bom."
tale,"Gastava o tempo que tinha cuidando da família, da pesca e da peixeira."
tale,"E quando o sol levantava, já ia ele saindo do mar, pronto pra levar a mercadoria nas costas, de porta em porta a quem quisesse."
tale,Talvez até dê pra dizer que Carmelo saiu da fome pra “fama”.
tale,"Não que ele fosse um coroné; ficou conhecido pelo trabalho honesto, fosse chuva ou fosse sol, pelas ruas da cidade de Olinda."
tale,"Quando chegava, já tinha certa a freguesia: os que só queriam peixe de primeira, os que se satisfaziam com ter pra comer os de segunda, os que ficavam esperando as sobras dos melhores cortes pra tentar pechinchar… E quando já se aproximava o fim da manhã, ele parava sempre pelo caminho em alguma bodega que esperava entediada a hora passar e tomava um gole de cachaça pra aliviar o calor."
tale,"Jogava conversa fora com o compadre do balcão, perguntava sempre como ia a família, depois voltava a caminhar com a peixeira embainhada e o último pedaço de peixe no ombro."
tale,Era o pedaço dele.
tale,"Os meninos de Carmelo eram novinhos, naquele tempo, e se escondiam toda vez que o pai chegava na casa velha de barro com o comer."
tale,"Tinha dia que Rosa até saía pra o rio, mas ainda assim voltava antes de ele chegar."
tale,"Ela era lavadeira, e afeita que só ela pela senhora do engenho alto."
tale,"Não passava três dias sem ir pegar as roupas na casa grande, e era sempre a mesma coisa: dava bom dia, arrumava o cesto, colocava na cabeça e era interrompida pela sinhá que sempre se danava a conversar quando ela tava pra ir simbora."
tale,"Mas olhe, eu preciso dizer: Rosa tinha uma mão… Até quando Carmelo trazia peixe ruim ela fazia ficar bom."
tale,"Podia ser cavala, cioba ou tainha: só o cheiro do peixe no fogo já era de fazer a vila estremecer."
tale,"E quando era época de fartura, então, que se conseguia trocar um peixe bom por uma parte da colheita do povo, aí é que não tinha pra mais ninguém."
tale,"O peixe no coco de Rosa, mesmo, deve ter sido a coisa mais cheirosa que eu já senti."
tale,"Recife, 07 de outubro de 2018"
novel,"Em 1975, Jardim Fragoso não era conhecido por ter casas vistosas."
novel,"Verdade seja dita, era um cu de mundo, e você pode ter certeza quando eu lhe digo: ô cuzinho feio, viu?"
novel,"Mas em poucas palavras, era um bairro de classe média baixa, tão grosseiro quanto as pessoas que ali viviam."
novel,"Das casas todas, a que morava meu amigo Carlão, recém-formado em medicina, primeiro de sua família e orgulho de mamãe, era a melhor da rua."
novel,"Devo alertar ao leitor que não era aquela nenhuma mansão, tampouco alguma espécie de obra prima arquitetônica assinada por Guggenheim ou Niemeyer."
novel,"Não, não."
novel,"Era só uma casinha cuidada, carinhosa, mas detentora de uma delicadeza que destoava de todas as outras ao redor."
novel,"Inspirava, como seus moradores, tranquilidade na comunidade, pois sabiam que ali moravam pessoas de bom coração."
novel,"Nas grandes festas do ano, quanto todos os vizinhos se juntavam em grande operação para construir decorações e adornar as ruas que competiam com os outros bairros, aquela era a sede do quartel general."
novel,"Era mesmo um lugar que fazia todos sentirem-se bem, não passando despercebida a ninguém."
novel,"Em matéria de chamar atenção, ela só não era mais vistosa que a casa à sua frente."
novel,"Talvez algum dia a humanidade consiga explicar por que a feiura, a partir de um certo ponto, deixa de ser repelente e torna-se irresistível de olhar."
novel,Basta ver qualquer criança perto de mulher com cara de dragão.
novel,Parece um magnetismo.
novel,Mas assim era a casa do Come Gente.
novel,"Passando pela rua, não havia quem livrasse os olhos da aberração que era aquela construção."
novel,Misericórdia.
novel,"O muro, mal acabado, parecia um pinto deformado: era torto, fino e longo."
novel,"No cume, moitas de arame farpado e avisos:  Perigo de morte ,  Risco iminente  e  Depois não diga que foi por falta de aviso ."
novel,"Ali morava um senhor meio estranho, que falava pouco com os vizinhos e jurava estar sendo perseguido pelos  inimigos ."
novel,"Só sabiam que ele era veterano da segunda guerra mundial, mas isso nunca foi suficiente para impedir as desavenças e implicâncias do povo."
novel,"Especialmente nos meses pares, entre a terceira e a quarta semana, no período de subida da maré, quando os astros se alinhavam no ângulo zenital, ocorria um fenômeno realmente único: a população era tomada pela falta do que fazer."
novel,"Oh, sim."
novel,"Pense numa coisa incomum, viu?"
novel,"E pra matar o tédio, calhavam de fazer o inferno: jogar pedra no telhado do velho, estourar bombinhas na frente da casa, fazer cantigas de escárnio e por aí vai."
novel,"Foi em um desses momentos de profunda erudição retal do povo que alguém surgiu com a história de que o velho era canibal, e aí o apelido pegou."
novel,"Desse dia em diante, virou o Come Gente."
novel,"De todo mundo da rua, a única pessoa com que o velho falava era Carlão."
novel,"Não era lá uma grande amizade, mas quando consideramos a relação social de australopiteco que ele mantinha com a vizinhança, o fato de sempre cumprimentar Carlão era uma evolução notável."
novel,Foi por causa disso que eu comecei a saber um pouco mais sobre o velho.
novel,"às vezes, de manhã cedinho, quando estava saindo para a universidade ou voltando de um plantão, Carlão era abordado pelo Come Gente, que sempre conversava algumas coisas soltas."
